freq	q2m10_std	q2m12_std	q2m13_std	q2m14_std	q2m15_std	q2m16_std	q2m17_std	q2m18_std	q2m19_std	q2m2_std	q2m20_std	q2m21_std	q2m23_std	q2m22_std	q2m24_std	q2m25_std	q2m26_std	q2m27_std	q2m28_std	q2m29_std	q2m3_std	q2m30_std	q2m31_std	q2m6_std	q2m7_std	q2m8_std	q2m9_std	q3m1_std	q3m10_std	q3m11_std	q3m12_std	q3m13_std	q3m17_std	q3m2_std	q3m3_std	q3m4_std	q3m5_std	q3m6_std	q3m7_std	q3m8_std	q3m9_std	q1m1_std	q1m2_std	q1m3_std	q1m4_std	q1m5_std	q1m6_std	q1m7_std	q1m9_std
3700.35	0.696491263	0.553440989	0.632339471	0.622382744	0.515135278	0.60361583	0.635212403	0.545289433	0.538353365	0.553046638	0.537779167	0.517321086	0.603110019	0.632362076	0.596497123	0.550999499	0.539726438	0.666512974	0.540286416	0.531496285	0.505936641	0.5963883	0.504908554	0.429610208	0.511506843	0.520972122	0.546890597	0.584269795	0.593156065	0.528249163	0.534577454	0.598470549	0.541294555	0.558586018	0.779880305	0.640250473	0.57838008	0.691054039	0.612026743	0.641028708	0.571945167	0.58874389	0.631160382	0.497791182	0.576875954	0.644709002	0.619933336	0.571828563	0.514442529
3701.7	0.696690439	0.553228102	0.632087216	0.622628903	0.515204567	0.604191687	0.634615493	0.546135151	0.538318128	0.553174688	0.53753941	0.517419361	0.602778854	0.63265558	0.596310869	0.550710059	0.539494115	0.666681071	0.540433578	0.531850722	0.506208709	0.596026445	0.505070857	0.429384446	0.511131687	0.521215171	0.54684328	0.584345518	0.593240196	0.529041178	0.534392527	0.598798062	0.540738331	0.558547572	0.780904686	0.640564222	0.578371428	0.691425661	0.612191435	0.640902541	0.57208236	0.588807223	0.631081669	0.497800001	0.576804096	0.645226021	0.619711536	0.571911083	0.514420518
3703.05	0.69691948	0.553013276	0.631835346	0.622873394	0.515274429	0.604771742	0.634014269	0.546982547	0.538280478	0.553303099	0.537296766	0.517524157	0.602443041	0.632951974	0.596127197	0.550432476	0.539262803	0.666848329	0.540580303	0.532203279	0.506488788	0.595660148	0.505233002	0.429212197	0.510755305	0.521479105	0.546794528	0.584423937	0.593328992	0.529835256	0.534215487	0.599124394	0.540219168	0.558519108	0.78193137	0.640876472	0.578362586	0.691795034	0.612354931	0.640778164	0.57221661	0.588869274	0.631001505	0.497805323	0.576731061	0.64574102	0.619486284	0.571991272	0.514397031
3704.4	0.697178661	0.552796617	0.63158387	0.62311654	0.515344135	0.605355591	0.633408681	0.547831522	0.538239898	0.553431623	0.537050964	0.517635473	0.602102578	0.63325131	0.59594622	0.550166853	0.539032491	0.667014653	0.540726294	0.532553442	0.506776278	0.595289508	0.50539455	0.429094439	0.51037766	0.521762992	0.54674464	0.584504666	0.593422797	0.530630345	0.534046196	0.599449356	0.539742286	0.55849999	0.782959974	0.641187074	0.578353554	0.692162092	0.612516699	0.640655137	0.572347632	0.588930119	0.630919808	0.497806753	0.576656788	0.646253701	0.619257467	0.572069416	0.514371926
3705.75	0.697468113	0.552578048	0.631332928	0.623358601	0.515414094	0.605943272	0.632798855	0.548681904	0.538196868	0.553560119	0.536801911	0.517753319	0.601757518	0.633553788	0.595768083	0.549913487	0.538803237	0.667180215	0.540871675	0.532901391	0.507070526	0.594914605	0.505555618	0.429032654	0.509999205	0.52206689	0.546693598	0.584587812	0.593521481	0.531425671	0.53388479	0.599772852	0.539314759	0.558490239	0.78399044	0.641496068	0.578344427	0.692526816	0.612676814	0.640534374	0.572475587	0.588989976	0.630836751	0.497804431	0.576581647	0.646764279	0.61902526	0.57214502	0.514345314
3707.1	0.697787746	0.552357861	0.63108268	0.623599792	0.515484072	0.606534314	0.632184811	0.549533855	0.538151191	0.553688463	0.536549624	0.51787812	0.601407768	0.6338594	0.595593062	0.549672493	0.538575096	0.667344967	0.541016324	0.533247144	0.507371038	0.594535569	0.505715619	0.429027553	0.509620028	0.522389977	0.546641553	0.584672836	0.593625044	0.53221986	0.53373137	0.600094788	0.538943522	0.558489893	0.785022604	0.641803337	0.578334881	0.692889182	0.612835344	0.640416424	0.572600247	0.589048738	0.630752185	0.497798177	0.576505413	0.647272684	0.61878953	0.57221834	0.514317115
3708.45	0.698137519	0.552136107	0.630833126	0.623840419	0.515553614	0.607128991	0.631566741	0.550386815	0.538102461	0.553816447	0.53629396	0.518009335	0.601053482	0.634168205	0.59542124	0.549443986	0.538347749	0.667509015	0.54116021	0.53359077	0.507676817	0.59415227	0.505874091	0.42908005	0.509239806	0.522731649	0.546588654	0.584759804	0.593733319	0.533012434	0.533585648	0.600414839	0.538634405	0.558498452	0.78605639	0.642108782	0.578325031	0.693249169	0.61299187	0.640301101	0.572721424	0.589106217	0.630666122	0.497787685	0.576428239	0.647778597	0.61855019	0.572289002	0.514287268
3709.8	0.69851736	0.551912784	0.63058434	0.624080704	0.515622747	0.60772688	0.630944712	0.551241132	0.538051112	0.553943994	0.536034766	0.518147407	0.600694597	0.634480354	0.59525275	0.549228031	0.538121611	0.667672379	0.541303229	0.53393221	0.507987778	0.593765027	0.506031358	0.429190162	0.508859316	0.523091405	0.546535069	0.584848429	0.593846408	0.533802247	0.533447734	0.600732987	0.538394289	0.558515617	0.787091712	0.642412355	0.578314829	0.693606647	0.613146363	0.640189058	0.57283921	0.589162808	0.630578606	0.497772996	0.576350168	0.648282172	0.618307389	0.572357261	0.514255642
3711.15	0.698926884	0.551688129	0.630336451	0.62432091	0.51569122	0.608327773	0.630318772	0.552096515	0.537996937	0.554070972	0.535772137	0.518292068	0.600331175	0.634795888	0.595087902	0.549024858	0.537896606	0.667835252	0.541445334	0.534271327	0.508302819	0.593373739	0.506186813	0.429358687	0.508478491	0.523468641	0.546480988	0.584938382	0.593964441	0.534588848	0.533317715	0.601049041	0.538229603	0.558541004	0.78812833	0.642713986	0.578304114	0.693961639	0.613298616	0.640080806	0.57295356	0.589218445	0.630489638	0.497753979	0.576271343	0.648783429	0.618061116	0.572422782	0.514222418
3712.5	0.699365796	0.551462083	0.630089459	0.624561393	0.51575913	0.608931719	0.629689096	0.552953081	0.537939652	0.554197095	0.535505689	0.518443201	0.599963237	0.635114868	0.594926675	0.548834509	0.537672507	0.667997545	0.541586362	0.534608189	0.508621392	0.592978567	0.506340328	0.429585257	0.508097113	0.523862624	0.546426587	0.585029538	0.594087158	0.535371018	0.533195357	0.601362849	0.538146129	0.558574498	0.789166243	0.6430135	0.578292953	0.694314143	0.613448513	0.639976467	0.573064017	0.589273129	0.630399173	0.497730421	0.576191702	0.649282122	0.617811255	0.572485861	0.514187405
