freq	kvnp_7_p	kvnp_10_p	kvnp_11_c	kvnp_14_c	7_p_std	10_p_std	11_c_std	14_c_std	p_mean	c_mean
0	46.570686	41.85783	51.405247	49.06476	0.549558908	0.420050735	0.577062495	0.540977467	0.484804821	0.559019981
1.35	66.39331	61.68018	71.22763	68.887245	0.742045167	0.615076298	0.766251879	0.727036948	0.678560732	0.746644414
2.7	66.39306	61.679073	71.22666	68.88656	0.74204274	0.615065406	0.766242621	0.727030518	0.678554073	0.74663657
4.05	66.392624	61.677235	71.225044	68.885414	0.742038506	0.615047323	0.766227198	0.727019762	0.678542914	0.74662348
5.4	66.39204	61.674656	71.222786	68.88382	0.742032835	0.615021949	0.766205647	0.7270048	0.678527392	0.746605224
6.75	66.391266	61.67134	71.21988	68.88176	0.742025319	0.614989324	0.766177911	0.726985464	0.678507321	0.746581688
8.1	66.390335	61.667297	71.216324	68.87925	0.742016279	0.614949546	0.766143972	0.726961905	0.678482912	0.746552938
9.45	66.38923	61.662506	71.21212	68.87628	0.742005549	0.614902409	0.766103848	0.726934027	0.678453979	0.746518938
10.8	66.38795	61.656982	71.207275	68.872856	0.741993119	0.61484806	0.766057606	0.726901889	0.67842059	0.746479748
12.15	66.3865	61.65073	71.201775	68.86898	0.741979039	0.614786549	0.766005113	0.726865508	0.678382794	0.74643531
13.5	66.38488	61.643734	71.19563	68.86464	0.741963308	0.614717717	0.765946464	0.726824771	0.678340513	0.746385617
14.85	66.383095	61.635998	71.18885	68.85985	0.741945975	0.614641605	0.765881754	0.726779811	0.67829379	0.746330782
16.2	66.381134	61.62753	71.18141	68.8546	0.741926933	0.614558292	0.765810745	0.726730533	0.678242612	0.746270639
17.55	66.379005	61.618317	71.173325	68.84889	0.74190626	0.614467648	0.76573358	0.726676937	0.678186954	0.746205258
18.9	66.3767	61.60838	71.1646	68.84273	0.741883877	0.614369881	0.765650306	0.726619118	0.678126879	0.746134712
20.25	66.37424	61.59769	71.15521	68.83611	0.741859989	0.614264706	0.765560686	0.72655698	0.678062348	0.746058833
21.6	66.37159	61.58627	71.14519	68.82903	0.741834257	0.614152348	0.765465053	0.726490526	0.677993302	0.745977789
22.95	66.368774	61.574116	71.134514	68.8215	0.741806912	0.614032769	0.765363159	0.726419847	0.67791984	0.745891503
24.3	66.36579	61.561214	71.123184	68.813515	0.741777936	0.61390583	0.765255023	0.726344897	0.677841883	0.74579996
25.65	66.36263	61.547573	71.11121	68.80507	0.741747251	0.613771621	0.76514074	0.72626563	0.677759436	0.745703185
27	66.35931	61.533195	71.098595	68.796165	0.741715013	0.613630161	0.765020339	0.726182045	0.677672587	0.745601192
28.35	66.355804	61.518078	71.08532	68.78681	0.741680968	0.613481429	0.76489364	0.726094237	0.677581199	0.745493938
29.7	66.35213	61.502224	71.0714	68.77699	0.741645292	0.613325447	0.764760784	0.726002063	0.677485369	0.745381424
31.05	66.34828	61.485626	71.05683	68.76672	0.741607906	0.613162145	0.764621725	0.725905666	0.677385026	0.745263695
32.4	66.34426	61.468285	71.04161	68.756	0.741568871	0.612991533	0.764476462	0.725805045	0.677280202	0.745140753
33.75	66.34007	61.4502	71.02574	68.74482	0.741528184	0.6128136	0.764324995	0.725700107	0.677170892	0.745012551
35.1	66.33571	61.431377	71.00922	68.733185	0.741485846	0.612628407	0.764167324	0.725590897	0.677057127	0.744879111
