plot_in_fieldnote	plot	id	location	spptype	plot_type	area	l	date	time	id	spp	subtype	subtype_code	on	height	nnid	nnspp	nntype	nntype2	nndheight	projdis	actudis	adfil	meanf	meanbt	meanpr	meanpp	meand	ipi	overlap	fil
2	1	1	pm	iso	fern closed	120	44	8/7/16	11:30	1	c	t	2	litter	0	2	na	na	na	0	0.81	0.81	1	4926.8	828.04	2.738	0.365	0.044	0.321	12.67	1
2	1	2	pm	iso	fern closed	120	44	8/7/16	11:30	2	c	t	2	tree	0	1	na	na	na	0	0.81	0.81	1	4928.9	846.1	2.698	0.371	0.044	0.327	12.67	1
2	1	3	pm	iso	fern closed	120	44	8/7/16	11:30	3	c	f	0	treefern	70	4	na	na	na	30	4.1	4.11	1	4849.8	857.9	2.713	0.369	0.038	0.331	10.6	1
2	1	4	pm	iso	fern closed	120	44	8/7/16	11:30	4	c	f	0	treefern	90	7	na	na	na	10	2.03	2.03	1	5332.7	974.18	2.872	0.348	0.037	0.311	12.51	1
2	1	5	pm	iso	fern closed	120	44	8/7/16	11:30	5	c	f	0	treefern	200		na	na	na				0	4928.9	674.08	2.485	0.402	0.036	0.366		1
2	1	6	pm	iso	fern closed	120	44	8/7/16	11:30	6	c	f	0	treefern	110	7	na	na	na	10	1.9	1.9	1	5128.1	739.24	2.809	0.356	0.039	0.317	11.69	1
2	1	7	pm	iso	fern closed	120	44	8/7/16	11:30	7	c	f	0	treefern	100	6	na	na	na	10	1.9	1.9	1	4820.2	898.64	2.601	0.384	0.04	0.344	12.11	1
2	1	8	pm	iso	fern closed	120	44	8/7/16	11:30	8	c	t	2	tree	200	2	na	na	na	200	1.1	2.28	0						0		1
2	1	9	pm	iso	fern closed	120	44	8/7/16	11:30	9	c	f	0	litter	0	10	na	na	na	66	1.17	1.34	1	4810.5	800.7	2.75	0.364	0.037	0.327		1
2	1	10	pm	iso	fern closed	120	44	8/7/16	11:30	10	c	t	2	tree	66	9	na	na	na	66	1.17	1.34	1						0		1
3	2	1	vnp	sym	fern closed	100	40	8/9/16	11:20	1	c	f	0	treefern	109	7	c	con	conc	47	0.57	0.74	0						0		1
3	2	3	vnp	sym	fern closed	100	40	8/9/16	11:20	3	c	f	0	treefern	27	25	c	con	conc	27	1.35	1.38	0	4682.4	854.9	2.321	0.431	0.042	0.389		1
3	2	6	vnp	sym	fern closed	100	40	8/9/16	11:20	6	p	f	0	treefern	65	28	p	con	conp	65	0.1	0.66	0	5014	1057.02	1.314	0.761	0.044	0.717		1
3	2	7	vnp	sym	fern closed	100	40	8/9/16	11:20	7	c	f	0	treefern	62	1	c	con	conc	47	0.57	0.74	0	4905.8	752.06	2.325	0.43	0.039	0.391		1
3	2	8	vnp	sym	fern closed	100	40	8/9/16	11:20	8	p	f	0	treefern	34	28	p	con	conp	34	0.09	0.35	0	4822.9	843.26	1.316	0.76	0.045	0.715		1
3	2	9	vnp	sym	fern closed	100	40	8/9/16	11:20	9	c	f	0	treefern	41	10	p	het	het	18	0.26	0.32	1	4773.9	901.98	2.283	0.438	0.033	0.405	2.81	1
3	2	10	vnp	sym	fern closed	100	40	8/9/16	11:20	10	p	f	0	treefern	59	9	c	het	het	18	0.26	0.32	1	4169.9	785.2	1.359	0.736	0.013	0.723	11.76	1
3	2	11	vnp	sym	fern closed	100	40	8/9/16	11:20	11	p	f	0	litter	0	13	p	con	conp	0	1.67	1.67	1						0		1
3	2	12	vnp	sym	fern closed	100	40	8/9/16	11:20	12	p	t	2	litter	0	13	p	con	conp	0	0.2	0.2	1	4875.7	921.06	1.403	0.713	0.052	0.661	6.44	1
3	2	13	vnp	sym	fern closed	100	40	8/9/16	11:20	13	p	t	2	litter	0	12	p	con	conp	0	0.35	0.35	1	4541.3	796.9	1.323	0.756	0.048	0.708	7.42	1
3	2	14	vnp	sym	fern closed	100	40	8/9/16	11:20	14	c	f	0	treefern	40	15	c	con	conc	9	0.28	0.29	1	4639.9	947.925	2.32	0.431	0.042	0.389	67.86	1
3	2	15	vnp	sym	fern closed	100	40	8/9/16	11:20	15	c	f	0	treefern	49	14	c	con	conc	9	0.28	0.29	1	4659.3	978.8	2.316	0.432	0.044	0.388	64.77	1
3	2	16	vnp	sym	fern closed	100	40	8/9/16	11:20	16	c	f	0	treefern	34	17	p	het	het	1	0.95	0.95	1	4527.9	882.26	2.27	0.441	0.039	0.402	8.97	1
3	2	17	vnp	sym	fern closed	100	40	8/9/16	11:20	17	p	f	0	treefern	35	19	p	con	conp	35	0.83	0.9	1	4808.4	1217.74	1.343	0.745	0.041	0.704	11.76	1
3	2	18	vnp	sym	fern closed	100	40	8/9/16	11:20	18	p	f	0	litter	0	17	p	con	conp	35	2.86	2.88	0	4618.4	805.86	1.298	0.77	0.043	0.727		1
3	2	19	vnp	sym	fern closed	100	40	8/9/16	11:20	19	p	f	0	litter	0	17	p	con	conp	35	0.83	0.9	1	4883.2	804.65	1.439	0.695	0.048	0.647	9.49	1
3	2	20	vnp	sym	fern closed	100	40	8/9/16	11:20	20	p	t	2	litter	0	21	p	con	conp	67	0.35	0.76	1	4829.9	928.26	1.309	0.764	0.051	0.713	30.02	1
3	2	21	vnp	sym	fern closed	100	40	8/9/16	11:20	21	p	f	0	treefern	67	22	c	het	het	21	0.32	0.38	1	4618.9	965.96	1.317	0.759	0.047	0.712	13.03	1
3	2	22	vnp	sym	fern closed	100	40	8/9/16	11:20	22	c	f	0	treefern	88	23	c	con	conc	2	0.21	0.21	1	4417	875.66	2.412	0.415	0.037	0.378	12.4	1
3	2	23	vnp	sym	fern closed	100	40	8/9/16	11:20	23	c	f	0	treefern	86	22	c	con	conc	2	0.21	0.21	1	4678.1	873.96	2.378	0.421	0.045	0.376	10.19	1
3	2	24	vnp	sym	fern closed	100	40	8/9/16	11:20	24	p	f	0	litter	0	25	c	het	het	0	0.12	0.12	1	4763.7	921.06	1.37	0.73	0.048	0.682	14.34	1
3	2	25	vnp	sym	fern closed	100	40	8/9/16	11:20	25	c	f	0	litter	0	24	p	het	het	0	0.12	0.12	1	4627.5	790.88	2.345	0.426	0.039	0.387	10.34	1
3	2	26	vnp	sym	fern closed	100	40	8/9/16	11:20	26	c	f	0	treefern	84	27	p	het	het	33	0.02	0.33	1	4848.2	876.92	2.372	0.422	0.04	0.382	5.69	1
3	2	27	vnp	sym	fern closed	100	40	8/9/16	11:20	27	p	f	0	treefern	51	26	c	het	het	33	0.02	0.33	1	4698.5	1165.1	1.333	0.75	0.034	0.716	12.13	1
3	2	28	vnp	sym	fern closed	100	40	8/9/16	11:20	28	p	f	0	treefern	0	8	p	con	conp	34	0.09	0.35	0	4849.3	939.28	1.319	0.758	0.046	0.712		1
3	2	29	vnp	sym	fern closed	100	40	8/9/16	11:20	29	p	f	0	treefern	19	6	p	con	conp	46	0.46	0.65	0	5150.2	891.96	1.313	0.762	0.042	0.72		1
3	2	30	vnp	sym	fern closed	100	40	8/9/16	11:20	30	p	t	2	litter	0	31	p	con	conp	0	1.01	1.01	1	4906.9	900.3	1.383	0.723	0.045	0.678	11.37	1
3	2	31	vnp	sym	fern closed	100	40	8/9/16	11:20	31	p	f	0	litter	0	30	p	con	conp	0	1.01	1.01	1	4977.4	929.2	1.268	0.789	0.045	0.744	12.08	1
4	3	1	vnp	sym	fern open	100	40	8/11/16	10:15	1	c	f	0	litter	32	2	c	con	conc	10	1.6	1.6	1	4638.2	892.78	2.129	0.47	0.042	0.428	12.82	1
4	3	2	vnp	sym	fern open	100	40	8/11/16	10:15	2	c	f	0	litter	22	1	c	con	conc	10	1.6	1.6	1	4509.6	767.12	2.211	0.452	0.043	0.409	12.06	1
4	3	3	vnp	sym	fern open	100	40	8/11/16	10:15	3	c	f	0	treefern	188	4	c	con	conc	34	0.34	0.48	1	4109.1	886.76	2.215	0.451	0.055	0.396	8.48	1
4	3	4	vnp	sym	fern open	100	40	8/11/16	10:15	4	c	f	0	treefern	154	3	c	con	conc	34	0.34	0.48	1	4611.3	745.06	2.257	0.443	0.041	0.402	10.99	1
4	3	5	vnp	sym	fern open	100	40	8/11/16	10:15	5	c	f	0	treefern	95	17	p	het	het	0	0.27	0.27	1	4680.8	960.34	2.116	0.473	0.045	0.428	7.09	1
4	3	6	vnp	sym	fern open	100	40	8/11/16	10:15	6	c	f	0	litter	0	7	c	con	conc	0	1.92	1.92	1	4799.2	666.18	2.263	0.442	0.042	0.4	7.06	1
4	3	7	vnp	sym	fern open	100	40	8/11/16	10:15	7	c	f	0	litter	0	8	c	con	conc	26	0.35	0.44	1	4485.9	891.96	2.19	0.457	0.054	0.403	4.86	1
4	3	8	vnp	sym	fern open	100	40	8/11/16	10:15	8	c	f	0	litter	26	7	c	con	conc	26	0.35	0.44	1	4447.7	734.62	2.256	0.443	0.017	0.426	13.24	1
4	3	9	vnp	sym	fern open	100	40	8/11/16	10:15	9	c	f	0	treefern	73	10	c	con	conc	2	0.14	0.14	1	4519.3	575.76	2.194	0.456	0.037	0.419	19.02	1
4	3	10	vnp	sym	fern open	100	40	8/11/16	10:15	10	c	f	0	treefern	75	9	c	con	conc	2	0.14	0.14	1	4661.9	884.7	2.175	0.46	0.04	0.42	17.59	1
4	3	11	vnp	sym	fern open	100	40	8/11/16	10:15	11	c	f	0	litter	0	13	p	het	het	0	0.19	0.19	1	4664.1	902.2	2.293	0.436	0.047	0.389	9.57	1
4	3	12	vnp	sym	fern open	100	40	8/11/16	10:15	12	p	f	0	litter	0	11	c	het	het	0	0.32	0.32	1	4800.8	963	1.336	0.749	0.048	0.701	14.61	1
4	3	13	vnp	sym	fern open	100	40	8/11/16	10:15	13	p	f	0	litter	0	11	c	het	het	0	0.19	0.19	1	4552.7	901.4	1.324	0.755	0.048	0.707	16.41	1
4	3	17	vnp	sym	fern open	100	40	8/11/16	10:15	17	p	f	0	treefern	95	5	c	het	het	0	0.27	0.27	1	4422.4	782.7	1.293	0.773	0.042	0.731	12.35	1
